Director,Year,Title,Country,Length,Genre,Col
"Aaron, Paul",1979,"Force of One, A",US,90,Action,Col
"Abbas, Khwaja Ahmad",1971,Two Drops of Water,India,141,---,Col
"Abbott, George",1958,Damn Yankees,US,110,Sports-Musical-Comedy,Col
"Abbott, George & Stanley Donen",1957,"Pajama Game, The",US,101,Musical-Comedy-Romance,Col
"Abbott, Jennifer & Mark Achbar",2003,"Corporation, The",Canada,145,Documentary,Col
"Abraham, John",1986,Amma Ariyan,India,115,---,---
"Abrahams, Jim/David Zucker/Jerry Zucker",1980,Airplane!,US,86,Comedy,Col
"Abrahams, Jim/David Zucker/Jerry Zucker",1984,Top Secret!,US,90,Spy-Musical-Comedy,Col
"Abrahams, Jim/David Zucker/Jerry Zucker",1986,Ruthless People,US,93,Comedy,Col
"Abrahamson, Lenny",2007,Garage,Ireland-UK,85,---,Col
"Abrahamson, Lenny/Leonard Abrahamson",2004,Adam & Paul,Ireland,85,---,Col
"Abrams, J.J.",2009,Star Trek,Germany-US,127,Action-Adventure-Science Fiction,Col
"Abrams, J.J.",2011,Super 8,US,111,Mystery-Science Fiction-Thriller,Col
"Abu-Assad, Hany",2002,Rana's Wedding,Palestine-Netherlands-United Arab Emirates,90,Drama-Comedy,Col
"Abu-Assad, Hany",2005,Paradise Now,Netherlands-Israel-Germany-France,91,Drama-Crime,Col
"Abuladze, Tengiz",1984,Repentance,Russia,155,Political-Fantasy,Col
"Achternbusch, Herbert",1981,"Last Hole, The",West Germany,92,---,BW
"Adachi, Masao",1971,"Red Army, The/PFLP: Declaration of World War",Japan,---,---,---
"Adamson, Andrew & Vicky Jenson",2001,Shrek,US,90,Animated-Fantasy-Comedy,Col
"Adamson, Andrew/Kelly Asbury/Conrad Vernon",2004,Shrek 2,US,92,Adventure-Animated-Family,Col
"Adler, Carine",1997,Under the Skin,UK,82,Drama,Col
"Adler, Lou",1978,Up in Smoke,US,86,Comedy,Col
"Adler, Lou",1981,"Ladies and Gentlemen, The Fabulous Stains",US,87,Drama,Col
"Adlon, Percy",1988,Bagdad Cafe,West Germany,108,Comedy,Col
"Advani, Nikhil",2003,Kol Ho Naa Ho,India,186,Drama-Romance,Col
"Affleck, Ben",2007,Gone Baby Gone,US,114,Crime-Drama-Mystery,Col
"Affleck, Ben",2010,"Town, The",US,125,---,Col
"Agüero, Ignacio",1988,One Hundred Children Waiting for a Train,Chile,55,Documentary,Col
"Aguilar, Rolando",1948,"Quarto mandamiento, El",Mexico,90,Drama,BW
"Aguirre, Javier",1973,Hunchback of the Morgue,Spain,87,Horror,Col
"Ahearn, Charlie",1982,Wild Style,US,82,Drama,Col
"Ahwesh, Peggy & Keith Sanborn",1987,"Deadman, The",US,38,Short,BW
"Aja, Alexandre",2003,High Tension,France-Romania,90,Crime-Horror-Thriller,Col
"Aja, Alexandre",2006,"Hills Have Eyes, The ",US,---,---,Col
"Akad, Lutfi",1973,Gelin,Turkey,92,Drama,---
"Akerman, Chantal",1974,"Je, tu, il, elle",Belgium,85,Drama,BW
"Akerman, Chantal",1975,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Belgium-France,201,Drama-Avant-Garde,Col
"Akerman, Chantal",1976,News from Home,France-Belgium,90,Drama-Avant Garde,Col
"Akerman, Chantal",1978,"Rendez-vous d'Anna, Les/The Meetings of Anna",France-Belgium-West Germany,127,Drama,Col
"Akerman, Chantal",1982,Toute une nuit,France-Belgium,90,Drama,Col
"Akerman, Chantal",1983,"Annees 80, Les",Belgium-France,82,Comedy-Musical,Col
"Akerman, Chantal",1986,Golden Eighties,France-Belgium,96,Comedy,Col
"Akerman, Chantal",1991,Nuit et jour/Night and Day,France,100,---,Col
"Akerman, Chantal",1993,D'est/From the East,Belgium-France-Portugal,107,Documentary,Col
"Akerman, Chantal",1994,Portrait of a Young Girl at the End of the 1960s in Brussels ,France,59,Romance-Drama,Col
"Akerman, Chantal",2000,"Captive, La",France-Belgium,118,Drama,Col
"Akerman, Chantal",2002,From the Other Side/De l'autre côté,France-Belgium-Australia-Finland,103,Documentary,Col
"Akhtar, Farhan",2001,Dil Chahta Hai,India,183,Comedy-Drama,Col
"Akin, Fatih",1998,Short Sharp Shock,Germany,100,Crime-Drama-Thriller,Col
"Akin, Fatih",2003,Head-On,Germany,121,Romance-Drama,Col
"Akin, Fatih",2007,"Edge of Heaven, The",Germany-Turkey-Italy,121,Drama,Col
"Akkad, Moustapha",1977,"Mohammad, Messenger of God/The Message",Lebanon-UK,180,Religious,Col
"Akomfrah, John",1986,Handsworth Songs,UK,61,Documentary,Col
"Akomfrah, John",1988,Testament ,Ghana-UK,88,---,Col
"Alaimo, Louise/Judy Smith/Ellen Sorren",1971,"Woman's Film, The",US,40,Short,BW
"Albicocco, Jean-Gabriel",1967,"Grand Meaulnes, Le/The Wanderer",France,110,---,Col
"Albright, Carlton J.",1990,Luther the Geek,US,80,Horror,Col
"Alcoriza, Luis",1963,Tiburoneros,Mexico,100,Drama,BW
"Aldrich, Robert",1954,Apache,US,91,Western,Col
"Aldrich, Robert",1954,Vera Cruz,US,94,Western,Col
"Aldrich, Robert",1955,"Big Knife, The",US,111,Drama,BW
"Aldrich, Robert",1955,Kiss Me Deadly,US,105,Crime-Thriller,BW
"Aldrich, Robert",1956,Attack!,US,107,War-Drama-Action,BW
"Aldrich, Robert",1956,Autumn Leaves,US,108,Drama,BW
"Aldrich, Robert",1961,"Last Sunset, The",US,112,Western,Col
"Aldrich, Robert",1962,What Ever Happened to Baby Jane?,US,132,Thriller-Drama,BW
"Aldrich, Robert",1965,"Hush... Hush, Sweet Charlotte",US,133,Thriller,BW
"Aldrich, Robert",1966,Flight of the Phoenix ,US,147,Adventure,Col
"Aldrich, Robert",1967,"Dirty Dozen, The",US,150,War-Action,Col
"Aldrich, Robert",1968,"Killing of Sister George, The",US,138,Drama-Comedy,Col
"Aldrich, Robert",1968,"Legend of Lylah Clare, The",US,130,Drama,Col
"Aldrich, Robert",1971,"Grissom Gang, The",US,127,Crime-Comedy,Col
"Aldrich, Robert",1972,Ulzana's Raid,US,103,Western-War,Col
"Aldrich, Robert",1973,Emperor of the North,US,118,Drama-Action,Col
"Aldrich, Robert",1974,"Longest Yard, The",US,123,Sports-Comedy,Col
"Aldrich, Robert",1975,Hustle,US,120,Mystery-Crime-Thriller,Col
"Aldrich, Robert",1981,All the Marbles,US,113,Sports-Comedy-Action,Col
